sent,verb,index,sign,seq_label,label,verbs,indexs,signs,labels,dataset
"It 's not quite as freewheeling an environment as you 'd imagine : Sergey Brin has actually created a mathematical ' proof ' that the company 's self - driven research strategy , which gives employees one day a week to do research projects on their own , is a good , respectable idea .",do,[41],LVC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"['do', 'do']","[41, 41]","['LVC', 'LVC']","[1, 1]",parseme
I do feel guilty about you doing all this work .,do,[6],LVC,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",1,['do'],[6],['LVC'],[1],parseme
I want a bird that I can hold and do tricks .,do,[9],LVC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",1,['do'],[9],['LVC'],[1],parseme
"Personally , I do n't find a travel agent to be of value to me as I am willing to put in the time doing research on the internet .",do,[24],LVC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",1,['do'],[24],['LVC'],[1],parseme
My life is too complicated right now trying to do my job .,do,[9],LVC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0']",1,['do'],[9],['LVC'],[1],parseme
"My role with Firefox and the Mozilla project will remain largely unchanged , I will continue doing much the same work as I have described above - with the new goal of successful 1.1 , 1.5 and 2.0 releases .",do,[16],LVC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['do'],[16],['LVC'],[1],parseme
How are strangers supposed to know why YOU want to do that sort of job ?,do,[10],LVC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",1,['do'],[10],['LVC'],[1],parseme
"For example , I would like to know if Rothko or Kline did any work on paper .",do,[12],LVC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0']",1,['do'],[12],['LVC'],[1],parseme
"But yes , thank you . A little food ca n't do any harm .",do,[11],LVC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0']",1,['do'],[11],['LVC'],[1],parseme
I also realize that some may not have done any works on paper or they are outrageously expensive .,do,[8],LVC,"['0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0']",1,['do'],[8],['LVC'],[1],parseme
"Did you do a deal with National Fuel Marketing purchasing 3,500 mmbtu on May 30th @ 2.975 ?",do,[2],LVC,"['0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,['do'],[2],['LVC'],[1],parseme
"Actually , I think we are in pretty good shape so I will probably be doing lunch but just do n't be too mad if I have to cancel .",do,[15],LVC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"['do', 'do']","[15, 15]","['LVC', 'LVC']","[1, 1]",parseme
They can do tricks and they are nt messy .,do,[2],LVC,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",1,['do'],[2],['LVC'],[1],parseme
"All I can say is that Elmira you are the best I ve experienced , never before has the seamstress done a perfect job until i met you .",do,[20],LVC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0']",1,['do'],[20],['LVC'],[1],parseme
Why not look it up !,look,[2],VPC,"[0, 0, 1, 0, 1, 0]",1,['look'],[2],['VPC'],[1],parseme
Auster looked the check over carefully and nodded .,look,[1],VPC,"['0', '1', '0', '0', '1', '0', '0', '0', '0']",1,['look'],[1],['VPC'],[1],parseme
We look forward to hearing your comments .,look,[1],VPC,"[0, 1, 1, 1, 0, 0, 0, 0]",1,"['look', 'look']","[1, 1]","['VPC', 'IAV']","[1, 1]",parseme
I look forward to seeing you all there .,look,[1],VPC,"[0, 1, 1, 1, 0, 0, 0, 0, 0]",1,"['look', 'look']","[1, 1]","['VPC', 'IAV']","[1, 1]",parseme
look up fumarase deficiency for more info .,look,[0],VPC,"[1, 1, 0, 0, 0, 0, 0, 0]",1,['look'],[0],['VPC'],[1],parseme
"He had read Quinn 's old work , he had admired it , he had been looking forward to more .",look,[16],VPC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",1,"['look', 'look']","[16, 16]","['VPC', 'IAV']","[1, 1]",parseme
We look forward to your active participation to make this forum an exciting meeting place for like minded individuals .,look,[1],VPC,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"['look', 'look']","[1, 1]","['VPC', 'IAV']","[1, 1]",parseme
Also look up the kingston family .,look,[1],VPC,"['0', '1', '1', '0', '0', '0', '0']",1,['look'],[1],['VPC'],[1],parseme
I look forward to hearing from you .,look,[1],VPC,"[0, 1, 1, 1, 0, 0, 0, 0]",1,"['look', 'look']","[1, 1]","['VPC', 'IAV']","[1, 1]",parseme
"That looks a bit sticky that one, at the back, does it?",look,[1],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[1],['NONE'],[0],vua
â Promise you'll look in and say hello when you have time.,look,[3],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[3],['NONE'],[0],vua
And then when you look at it er you can recall then,look,[4],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[4],['NONE'],[0],vua
He looks at Fairfax without fear.,look,[1],NONE,"[0, 0, 0, 0, 0, 0]",0,['look'],[1],['NONE'],[0],vua
You don't look at all well.,look,[2],NONE,"[0, 0, 0, 0, 0, 0]",0,['look'],[2],['NONE'],[0],vua
"Perhaps a shimmering dry Martini cocktail( minimum dilution, stirred, not shaken; and served straight up) looks even more refreshing, though its effect is that of a silver mallet.",look,[15],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[15],['NONE'],[0],vua
"A further example is work by von Braun( 1988) who uses pMAP to look at exposure of organic and metallic compounds in groundwater in the vicinity of Tucson airport, Arizona.",look,[13],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[13],['NONE'],[0],vua
"Thus released, Jesse Sweetman turned to look at me.",look,[6],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[6],['NONE'],[0],vua
"Anyway, erm we went to the Polly hadn't seen them in the shops anywhere and went to Caerphilly market on Saturday morning and as we were coming from it he said look there's a shirt you want for Robert there.",look,[31],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[31],['NONE'],[0],vua
Looks a good place.,look,[0],NONE,"[0, 0, 0, 0]",0,['look'],[0],['NONE'],[0],vua
Look what I've done.,look,[0],NONE,"[0, 0, 0, 0]",0,['look'],[0],['NONE'],[0],vua
"It's a man, is he a bit chilly, he doesn't look chilly he's got a coat on.",look,[10],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[10],['NONE'],[0],vua
"She had suggested that they look at Van Gogh together, setting up another form of repetition, deliberate, contrived and aesthetic.",look,[5],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[5],['NONE'],[0],vua
"In her publicity photographs she could, he recalled, look beautiful in a somewhat intimidating, intellectual and very English mould.",look,[8],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[8],['NONE'],[0],vua
Its villages look too good to be true.,look,[2],NONE,"[0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[2],['NONE'],[0],vua
He couldn't look Shiva up because he couldn't remember his surname.,look,[2],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[2],['NONE'],[0],vua
Look he's slowing down there!,look,[0],NONE,"[0, 0, 0, 0, 0]",0,['look'],[0],['NONE'],[0],vua
And he tells how none of the assembled guards and officials could look his father in the eye as he protested his innocence.,look,[12],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[12],['NONE'],[0],vua
You look so like your father.,look,[1],NONE,"[0, 0, 0, 0, 0, 0]",0,['look'],[1],['NONE'],[0],vua
"Some novice gardeners may not want to do much actual gardening at all, but conversely, do not want to look out every day over a scene of threadbare grass and rotting fence.",look,[19],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[19],['NONE'],[0],vua
"Undoubtedly, the GISs of the 1990s will look very different from their rather primitive ancestors.",look,[7],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[7],['NONE'],[0],vua
Rob's coming to look at lights.,look,[3],NONE,"[0, 0, 0, 0, 0, 0]",0,['look'],[3],['NONE'],[0],vua
"One moment an avenue of chestnut trees looks â like a child's drawing of ghosts; the next it appears â frightening but derelict, like extinguished chandeliers; and finally the chestnuts â prance at him, holding up their gleaming branches like hysterics.",look,[7],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[7],['NONE'],[0],vua
I mean we've just been to look at some others and upstairs and downstairs.,look,[6],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[6],['NONE'],[0],vua
So it looks awfully fresh the wretches made me almost squashed it.,look,[2],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[2],['NONE'],[0],vua
"So, Sarah had a job to do, but it wasn't, sort of, till the end, and we're gon na finish too quickly because normally we have it like Paul and Helen being really with it and look there's sort of upward",look,[36],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[36],['NONE'],[0],vua
